단어,등급
고3,1
으니까,1
니까,1
으러,1
러,1
어서,1
아서,1
여서,1
어2,1
아2,1
여1,1
라서,1
라4,1
지만,1
으려고1,1
려고1,1
으려,1
려,1
거나,2
는데1,2
은데1,2
ㄴ데1,2
으면,2
면,2
으면서,2
면서,2
게2,2
다가1(1),2
다5,2
다가도,2
거든1,3
거들랑,3
는다거나1,3
ㄴ다거나1,3
다거나1,3
라거나1,3
는다고1,3
다고1,3
라고3,3
으라고1,3
자고1,3
으나,3
나4,3
느라고,3
느라,3
도록,3
어다가,3
아다가,3
여다가,3
어다,3
아다,3
여다,3
어도,3
아도,3
여도,3
라도2,3
이라도,3
어야,3
아야,3
여야,3
어야만,3
아야만,3
여야만,3
어야지1,3
아야지1,3
여야지1,3
었더니,3
았더니,3
였더니,3
자마자,3
자2,3
다가1(2),3
다5,3
다가도,3
으니2,3
니4,3
으려면,3
려면,3
거니와,4
고도,4
고자,4
기에,4
는지,4
ㄴ지1,4
은지1,4
을지,4
다시피,4
더라도,4
든지2,4
든2,4
든가2,4
으므로,4
므로,4
을래야,4
ㄹ래야,4
고서,4
고서는,4
고서야,4
는다면1,4
ㄴ다면1,4
다면1,4
라면1,4
더니,4
던데1,4
듯이,4
을수록,4
ㄹ수록,4
으며,4
며2,4
지1,5
을뿐더러,5
ㄹ뿐더러,5
고는,5
곤,5
고는 하다,5
곤 하다,5
길래,5
다가는 ,5
다간,5
단1,5
을지라도,5
ㄹ지라도,5
느니1,5
느니보다,5
느니보다는,5
거들랑1,6
걸랑1,6
노라면,6
건대,6
건만,6
건마는,6
기로서니,6
느니만큼,6
니만큼,6
으니만큼,6
느니만치,6
니만치,6
으니만치,6
되,6
으되,6
로되,6
디1,6
이라야,6
라야,6
이라야만,6
라야만,6
으련마는,6
련마는,6
으련만,6
련만,6
자니3,6
자2,6
자니까3,6
는다고1,6
다고1,6
라고3,6
으라고1,6
자고1,6
자면1,6
은들 ,6
ㄴ들2,6
인들,6
을망정,6
ㄹ망정,6
ㄹ지언정,6
을지언정,6
을라치면,6
ㄹ라치면,6
