단어,등급
이,1
가,1
과,1
와,1
까지,1
께서,1
은1,1
는1,1
ㄴ1,1
도,1
을1,1
를,1
ㄹ1,1
이랑,1
랑,1
으로,1
로,1
부터,1
에서부터,1
서부터,1
에,1
다가,1
에다가,1
에다,1
에게,1
에게로,1
에게서,1
에서,1
서2,1
의,1
하고,1
만,1
이다,1
한테,1
보다,1
께,2
마다,2
밖에,2
처럼,2
에서부터,2
서부터,2
에다가,2
에다,2
에게로,2
에게서,2
한테서,2
이나,2
나1,2
같이,3
이고,3
고1,3
대로,3
으로부터,3
만큼,3
만치,3
보고,3
뿐,3
아1,3
야1,3
요1,3
이라고1,3
라고1,3
라3,3
이라,3
커녕,4
ㄴ커녕,4
는커녕,4
은커녕,4
이나마,4
나마,4
이며,4
며,4
이니,4
니1,4
하며,4
하고,4
이다2,4
이든,4
든1,4
이든지,4
든지1,4
이든가,4
든가1,4
이란,4
란1,4
이면,4
면1,4
이야,4
야2,4
치고,4
까지2,4
이라도,4
라도1,4
으로서,4
로서,4
으로써,4
로써,4
마저,4
이라든가,5
라든가1,5
이라든지,5
라든지1,5
따라,5
조차,5
마는,6
만2,6
깨나,6
이라고2,6
라고2,6
을랑,6
이라면,6
라면1,6
