단어,등급
습니까,1
ㅂ니까,1
습니다,1
ㅂ니다,1
읍시다,1
ㅂ시다,1
으세요,1
세요,1
으셔요,1
셔요,1
으시어요,1
시어요,1
으십시오,1
십시오,1
고4,1
고요,1
을까,1
ㄹ까,1
을까요,1
ㄹ까요,1
어2,1
아2,1
여2,1
야3,1
어요,1
아요,1
여요,1
에요,1
는군,2
군,2
는군요,2
군요,2
을게,2
ㄹ게,2
을게요,2
ㄹ게요,2
지,2
지요,2
죠,2
는데2,2
ㄴ데2,2
은데2,2
는데요,2
ㄴ데요,2
은데요,2
네,2
네요,2
을래,2
을래요,2
ㄹ래요,2
거든2,3
거든요,3
는구나,3
구나,3
는다,3
ㄴ다,3
다2,3
던데2,3
던데요,3
잖아,3
잖아요,3
자3,3
니2,3
으니5,3
는다니2,4
ㄴ다니2,4
다니3,4
라니3,4
더군,4
더군요,4
더라,4
어라1,4
아라1,4
여라1,4
게5,4
게요1,4
는다면서1,4
ㄴ다면서1,4
다면서1,4
라면서1,4
는다면서요,4
다면서요,4
라면서요,4
나3,4
나요,4
을걸,4
ㄹ걸,4
을걸요,4
ㄹ걸요,4
어야지2,4
아야지2,4
여야지2,4
어야지요,4
아야지요,4
여야지요,4
고4,4
고요,4
다니1,4
다니요,4
라니1,4
라니요1,4
네2,5
다4,5
다니1,5
다니요,5
라니1,5
라니요1,5
으라니1,5
으라니요,5
­으려고2,5
­려고2,5
­려고요,5
­으려고요,5
거라,5
고말고,5
고말고요,5
는가1,5
ㄴ가1,5
은가1,5
는걸,5
ㄴ걸,5
은걸,5
ㄴ걸요,5
는걸요,5
은걸요,5
데,5
데요,5
더라고,5
더라고요,5
는구려,6
구려1,6
는구먼,6
구먼,6
구먼요,6
는구먼요,6
그려,6
으리라,6
리라,6
으오,6
오,6
으니4,6
거들랑2 ,6
걸랑2,6
게3,6
게4,6
구려2,6
네1,6
는구만,6
구만,6
는가2,6
ㄴ가2,6
은가2,6
나2,6
던2,6
던가1,6
던가2,6
라2,6
으리오,6
리오,6
소,6
