,단어,품사태그
15,겠,EP
37,였,EP
65,겠,EP
124,겠,EP
633,겠,EP
743,였,EP
769,겠,EP
781,겠,EP
924,시,EP
1014,겠,EP
1059,겠,EP
1067,시,EP
1068,었,EP
1079,시,EP
1080,었,EP
1115,였,EP
1171,시,EP
1174,겠,EP
1216,였,EP
1335,았,EP
1394,겠,EP
1419,았,EP
1429,였,EP
1440,시,EP
1441,었,EP
1446,았,EP
1472,겠,EP
1743,았,EP
1759,시,EP
1771,겠,EP
1794,겠,EP
1804,겠,EP
1852,겠,EP
1857,겠,EP
1905,었,EP
1980,겠,EP
2012,겠,EP
2024,았,EP
2055,였,EP
2228,시,EP
2257,였,EP
2273,였,EP
2328,겠,EP
2489,었,EP
2493,였,EP
2510,였,EP
2534,었,EP
2567,었,EP
2599,었,EP
2625,었,EP
2648,겠,EP
2809,았,EP
2892,시,EP
2902,었,EP
2914,였,EP
2931,시,EP
2935,시,EP
2936,겠,EP
2943,였,EP
2964,겠,EP
2975,였,EP
3002,였,EP
3014,시,EP
3042,시,EP
3045,겠,EP
3051,겠,EP
