등급,분류,대표형,관련형
1급,조사,이,가
1급,조사,과,와
1급,조사,까지,
1급,조사,께서,
1급,조사,은1,"는1, ㄴ1"
1급,조사,도,
1급,조사,을1,"를, ㄹ1"
1급,조사,이랑,랑
1급,조사,으로,로
1급,조사,부터,"에서부터, 서부터"
1급,조사,에,"다가, 에다가, 에다"
1급,조사,에게,"에게로, 에게서"
1급,조사,에서,서2
1급,조사,의,
1급,조사,하고,
1급,조사,만,
1급,조사,이다,
1급,조사,한테,
1급,조사,보다,
1급,선어말어미,-겠-,
1급,선어말어미,-었-,"-았-, -였-"
1급,선어말어미,-으시-,-시-
1급,연결어미,-고3,
1급,연결어미,-으니까,-니까
1급,연결어미,-으러,-러
1급,연결어미,-어서,"-아서, -여서, -어2, -아2, -여1, -라서, -라4"
1급,연결어미,-지만,
1급,연결어미,-으려고1,"-려고1, 으려, 려"
1급,종결어미,-습니까,-ㅂ니까
1급,종결어미,-습니다,-ㅂ니다
1급,종결어미,-읍시다,-ㅂ시다
1급,종결어미,-으세요,"-세요, -으셔요, -셔요, -으시어요, -시어요"
1급,종결어미,-으십시오,-십시오
1급,종결어미,-고4,-고요
1급,종결어미,-을까,"-ㄹ까, 을까요, -ㄹ까요"
1급,종결어미,-어2,"-아2, -여2, -야3, -어요, -아요, -여요, -에요"
2급,조사,께,
2급,조사,마다,
2급,조사,밖에,
2급,조사,처럼,
2급,조사,에서부터,
2급,조사,서부터,
2급,조사,에다가,에다
2급,조사,에게로,
2급,조사,에게서,
2급,조사,한테서,
2급,조사,이나,나1
2급,연결어미,-거나,
2급,연결어미,-는데1,"-은데1, -ㄴ데1"
2급,연결어미,-으면,-면
2급,연결어미,-으면서,-면서
2급,연결어미,-게2,
2급,연결어미,-다가1(1),"-다5, 다가도"
2급,전성어미,-기,
2급,전성어미,-는2,"-은3, -ㄴ3"
2급,전성어미,-은2,-ㄴ4
2급,전성어미,-을2,-ㄹ2
2급,전성어미,-은3,
2급,전성어미,-음,-ㅁ
2급,종결어미,-는군,"-군, -는군요, -군요"
2급,종결어미,-을게,"-ㄹ게, 을게요, -ㄹ게요"
2급,종결어미,-지,"-지요, -죠"
2급,종결어미,-는데2,"-ㄴ데2, -은데2, -는데요, -ㄴ데요, -은데요"
2급,종결어미,-네,-네요
