,hannanum,kkma,komoran,okt
0,"('나', 'NP')","('나', 'NP')","('나', 'NP')","('나', 'Noun')"
1,"('는', 'JX')","('는', 'JX')","('는', 'JX')","('는', 'Josa')"
2,"('졸리', 'PV')","('졸리', 'VV')","('졸리', 'VV')","('졸', 'Noun')"
3,"('기', 'ET')","('기', 'ETN')","('기', 'ETN')","('리기', 'Noun')"
4,"('는커녕', 'JX')","('는', 'JX')","('는커녕', 'JX')","('는커녕', 'Josa')"
5,"('배고프', 'PA')","('크', 'VA')","('배고프', 'VA')","('배고프지도', 'Adjective')"
6,"('지', 'EC')","('어', 'ECS')","('지', 'EC')","('않다', 'Verb')"
7,"('도', 'JX')","('녕', 'UN')","('도', 'JX')","('.', 'Punctuation')"
8,"('않', 'PX')","('배고프', 'VA')","('않', 'VX')",-
9,"('다', 'EF')","('지', 'ECD')","('다', 'EF')",-
10,"('.', 'SF')","('도', 'JX')","('.', 'SF')",-
11,-,"('않', 'VXV')",-,-
12,-,"('다', 'EFN')",-,-
13,-,"('.', 'SF')",-,-
0,"('현장', 'NC')","('현장', 'NNG')","('현장', 'NNG')","('현장', 'Noun')"
1,"('에', 'JC')","('에', 'JKM')","('에', 'JKB')","('에', 'Josa')"
2,"('계시', 'PA')","('계신', 'NNG')","('계시', 'VV')","('계신', 'Adjective')"
3,"('ㄴ', 'ET')","('분', 'NNG')","('ㄴ', 'ETM')","('분', 'Noun')"
4,"('불', 'PV')","('들', 'XSN')","('분', 'NNB')","('들', 'Suffix')"
5,"('ㄴ', 'ET')","('께', 'JKM')","('들', 'XSN')","('께서는', 'Josa')"
6,"('들', 'NB')","('서', 'VV')","('께서', 'JKS')","('이', 'Noun')"
7,"('께서', 'JC')","('는', 'ETD')","('는', 'JX')","('순간', 'Noun')"
8,"('는', 'JX')","('이', 'MDT')","('이', 'MM')","('을', 'Josa')"
9,"('이', 'MM')","('순간', 'NNG')","('순간', 'NNG')","('기대하셨으리라', 'Adjective')"
10,"('순간', 'NC')","('을', 'JKO')","('을', 'JKO')","('생각', 'Noun')"
11,"('을', 'JC')","('기대', 'NNG')","('기대', 'NNG')","('합니다', 'Verb')"
12,"('기대', 'PV')","('하', 'XSV')","('하', 'XSV')","('.', 'Punctuation')"
13,"('어', 'EC')","('시', 'EPH')","('시', 'EP')",-
14,"('하', 'PX')","('었', 'EPT')","('었', 'EP')",-
15,"('셨', 'EP')","('으리라', 'EFN')","('으리라', 'EC')",-
16,"('으리라', 'EF')","('생각', 'NNG')","('생각', 'NNG')",-
17,"('생각', 'NC')","('하', 'XSV')","('하', 'XSV')",-
18,"('하', 'XS')","('ㅂ니다', 'EFN')","('ㅂ니다', 'EF')",-
19,"('ㅂ니다', 'EF')","('.', 'SF')","('.', 'SF')",-
20,"('.', 'SF')",-,-,-
0,"('어떤', 'MM')","('어떻', 'VA')","('어떤', 'MM')","('어떤', 'Adjective')"
1,"('독', 'NC')","('ㄴ', 'ETD')","('독서', 'NNP')","('독서', 'Noun')"
2,"('서', 'JC')","('독서', 'NNG')","('이론', 'NNG')","('이론', 'Noun')"
3,"('이론', 'NC')","('이론', 'NNG')","('도', 'JX')","('도', 'Josa')"
4,"('도', 'JX')","('도', 'JX')","('이', 'MM')","('이', 'Noun')"
