,hannanum,kkma,komoran,okt
0,"('나', 'NP')","('나', 'NP')","('나', 'NP')","('나', 'Noun')"
1,"('는', 'JX')","('는', 'JX')","('는', 'JX')","('는', 'Josa')"
2,"('졸리', 'PV')","('졸리', 'VV')","('졸리', 'VV')","('졸', 'Noun')"
3,"('기', 'ET')","('기', 'ETN')","('기', 'ETN')","('리기', 'Noun')"
4,"('는커녕', 'JX')","('는', 'JX')","('는커녕', 'JX')","('는커녕', 'Josa')"
5,"('배고프', 'PA')","('크', 'VA')","('배고프', 'VA')","('배고프지도', 'Adjective')"
6,"('지', 'EC')","('어', 'ECS')","('지', 'EC')","('않다', 'Verb')"
7,"('도', 'JX')","('녕', 'UN')","('도', 'JX')","('.', 'Punctuation')"
8,"('않', 'PX')","('배고프', 'VA')","('않', 'VX')","('현장', 'Noun')"
9,"('다', 'EF')","('지', 'ECD')","('다', 'EF')","('에', 'Josa')"
10,"('.', 'SF')","('도', 'JX')","('.', 'SF')","('계신', 'Adjective')"
11,"('현장', 'NC')","('않', 'VXV')","('현장', 'NNG')","('분', 'Noun')"
12,"('에', 'JC')","('다', 'EFN')","('에', 'JKB')","('들', 'Suffix')"
13,"('계시', 'PA')","('.', 'SF')","('계시', 'VV')","('께서는', 'Josa')"
14,"('ㄴ', 'ET')","('현장', 'NNG')","('ㄴ', 'ETM')","('이', 'Noun')"
15,"('불', 'PV')","('에', 'JKM')","('분', 'NNB')","('순간', 'Noun')"
16,"('ㄴ', 'ET')","('계신', 'NNG')","('들', 'XSN')","('을', 'Josa')"
17,"('들', 'NB')","('분', 'NNG')","('께서', 'JKS')","('기대하셨으리라', 'Adjective')"
18,"('께서', 'JC')","('들', 'XSN')","('는', 'JX')","('생각', 'Noun')"
19,"('는', 'JX')","('께', 'JKM')","('이', 'MM')","('합니다', 'Verb')"
20,"('이', 'MM')","('서', 'VV')","('순간', 'NNG')","('.', 'Punctuation')"
21,"('순간', 'NC')","('는', 'ETD')","('을', 'JKO')","('어떤', 'Adjective')"
22,"('을', 'JC')","('이', 'MDT')","('기대', 'NNG')","('독서', 'Noun')"
23,"('기대', 'PV')","('순간', 'NNG')","('하', 'XSV')","('이론', 'Noun')"
24,"('어', 'EC')","('을', 'JKO')","('시', 'EP')","('도', 'Josa')"
25,"('하', 'PX')","('기대', 'NNG')","('었', 'EP')","('이', 'Noun')"
26,"('셨', 'EP')","('하', 'XSV')","('으리라', 'EC')","('한', 'Verb')"
27,"('으리라', 'EF')","('시', 'EPH')","('생각', 'NNG')","('장의', 'Noun')"
28,"('생각', 'NC')","('었', 'EPT')","('하', 'XSV')","('사진', 'Noun')"
29,"('하', 'XS')","('으리라', 'EFN')","('ㅂ니다', 'EF')","('만큼', 'Josa')"
30,"('ㅂ니다', 'EF')","('생각', 'NNG')","('.', 'SF')","('독서', 'Noun')"
31,"('.', 'SF')","('하', 'XSV')","('어떤', 'MM')","('의', 'Josa')"
32,"('어떤', 'MM')","('ㅂ니다', 'EFN')","('독서', 'NNP')","('위대함을', 'Adjective')"
33,"('독', 'NC')","('.', 'SF')","('이론', 'NNG')","('분명하게', 'Adjective')"
34,"('서', 'JC')","('어떠', 'VV')","('도', 'JX')","('말', 'Noun')"
