,hannanum,kkma,komoran,okt
0,"('리모델링', 'NC')","('리모델링', 'NNG')","('리', 'NNB')","('리', 'Noun')"
1,"('이후', 'NC')","('이후', 'NNG')","('모델링', 'NNP')","('모델링', 'Noun')"
2,"('의', 'JC')","('의', 'JKG')","('이후', 'NNG')","('이후', 'Noun')"
3,"('다목적실', 'NC')","('다목적', 'NNG')","('의', 'JKG')","('의', 'Josa')"
4,"('활용', 'NC')","('실', 'NNG')","('다목적', 'NNG')","('다', 'Adverb')"
5,"('방안', 'NC')","('활용', 'NNG')","('실', 'NNG')","('목적', 'Noun')"
6,"('에', 'JC')","('방안', 'NNG')","('활용', 'NNG')","('실', 'Noun')"
7,"('대', 'PV')","('에', 'JKM')","('방안', 'NNG')","('활용', 'Noun')"
8,"('어', 'EC')","('대하', 'VV')","('에', 'JKB')","('방안', 'Noun')"
9,"('하', 'PX')","('어', 'ECS')","('대하', 'VV')","('에', 'Josa')"
10,"('어', 'EC')","('다시', 'MAG')","('아', 'EC')","('대해', 'Noun')"
11,"('다시', 'MA')","('이야기', 'NNG')","('다시', 'MAG')","('다시', 'Noun')"
12,"('이야기', 'NC')","('하', 'XSV')","('이야기', 'NNG')","('이야기', 'Noun')"
13,"('하', 'XS')","('어', 'ECS')","('하', 'XSV')","('해', 'Verb')"
14,"('어', 'EC')","('보', 'VV')","('아', 'EC')","('보자', 'Verb')"
15,"('보', 'PX')","('자', 'ECE')","('보', 'VX')","('.', 'Punctuation')"
16,"('자', 'EC')","('.', 'SF')","('자', 'EF')","('지난', 'Noun')"
17,"('.', 'SF')","('지나', 'VV')","('.', 'SF')","('논의', 'Noun')"
18,"('지나', 'PV')","('ㄴ', 'ETD')","('지나', 'VV')","('에', 'Josa')"
19,"('ㄴ', 'ET')","('논의', 'NNG')","('ㄴ', 'ETM')","('대해', 'Noun')"
20,"('논의', 'NC')","('에', 'JKM')","('논의', 'NNG')","('비평', 'Noun')"
21,"('에', 'JC')","('대하', 'VV')","('에', 'JKB')","('하는', 'Verb')"
22,"('대', 'PV')","('어', 'ECS')","('대하', 'VV')","('글', 'Noun')"
23,"('어', 'EC')","('비평', 'NNG')","('아', 'EC')","('읽어', 'Verb')"
24,"('하', 'PX')","('하', 'XSV')","('비평', 'NNG')","('봤니', 'Verb')"
25,"('어', 'EC')","('는', 'ETD')","('하', 'XSV')","('?', 'Punctuation')"
26,"('비평', 'NC')","('글', 'NNG')","('는', 'ETM')","('나', 'Noun')"
27,"('하', 'XS')","('읽', 'VV')","('글', 'NNG')","('는', 'Josa')"
28,"('는', 'ET')","('어', 'ECD')","('읽', 'VV')","('특히', 'Adverb')"
29,"('글', 'NC')","('보', 'VXV')","('어', 'EC')","('글', 'Noun')"
30,"('읽', 'PV')","('았', 'EPT')","('보', 'VV')","('의', 'Josa')"
31,"('어', 'EC')","('니', 'EFQ')","('았', 'EP')","('마지막', 'Noun')"
32,"('보', 'PX')","('?', 'SF')","('니', 'EF')","('부분', 'Noun')"
33,"('아', 'EP')","('나', 'NP')","('?', 'SF')","('에', 'Josa')"
34,"('니', 'EF')","('는', 'JX')","('나', 'NP')","('공감', 'Noun')"
35,"('?', 'SF')","('특히', 'MAG')","('는', 'JX')","('하면서', 'Verb')"
36,"('나', 'NP')","('글', 'NNG')","('특히', 'MAG')","('읽었어', 'Verb')"
37,"('는', 'JX')","('의', 'JKG')","('글', 'NNG')","('.', 'Punctuation')"
38,"('특히', 'MA')","('마지막', 'NNG')","('의', 'JKG')","('논의', 'Noun')"
39,"('글', 'NC')","('부분', 'NNG')","('마지막', 'NNG')","('과정', 'Noun')"
40,"('의', 'JC')","('에', 'JKM')","('부분', 'NNG')","('에서', 'Josa')"
41,"('마지막', 'NC')","('공감', 'NNG')","('에', 'JKB')","('상대방', 'Noun')"
42,"('부분', 'NC')","('하', 'XSV')","('공감', 'NNG')","('의', 'Josa')"
43,"('에', 'JC')","('면서', 'ECE')","('하', 'XSV')","('입장', 'Noun')"
44,"('공감', 'NC')","('읽', 'VV')","('면서', 'EC')","('을', 'Josa')"
45,"('하', 'XS')","('었', 'EPT')","('읽', 'VV')","('고려', 'Noun')"
46,"('면서', 'EC')","('어', 'EFN')","('었', 'EP')","('하지', 'Verb')"
47,"('읽', 'PV')","('.', 'SF')","('어', 'EF')","('않아', 'Verb')"
48,"('었', 'EP')","('논의', 'NNG')","('.', 'SF')","('문제', 'Noun')"
49,"('어', 'EF')","('과정', 'NNG')","('논의', 'NNG')","('가', 'Josa')"
50,"('.', 'SF')","('에서', 'JKM')","('과정', 'NNG')","('해결', 'Noun')"
51,"('논', 'NC')","('상대방', 'NNG')","('에서', 'JKB')","('되지', 'Verb')"
52,"('의', 'JC')","('의', 'JKG')","('상대방', 'NNG')","('않고', 'Verb')"
53,"('과정', 'NC')","('입장', 'NNG')","('의', 'JKG')","('오히려', 'Noun')"
54,"('에서', 'JC')","('을', 'JKO')","('입장', 'NNG')","('갈등', 'Noun')"
55,"('상대방', 'NC')","('고려', 'NNP')","('을', 'JKO')","('이', 'Josa')"
56,"('의', 'JC')","('하', 'XSV')","('고려', 'NNG')","('고조', 'Noun')"
57,"('입장', 'NC')","('지', 'ECD')","('하', 'XSV')","('되는', 'Verb')"
58,"('을', 'JC')","('않', 'VXV')","('지', 'EC')","('걸', 'Noun')"
59,"('고', 'PV')","('아', 'ECD')","('않', 'VX')","('느꼈거든', 'Verb')"
60,"('려', 'EC')","('문제', 'NNG')","('아', 'EC')","('.', 'Punctuation')"
61,"('하', 'PX')","('가', 'JKS')","('문제', 'NNG')","('너희', 'Noun')"
62,"('지', 'EC')","('해결', 'NNG')","('가', 'JKS')","('들', 'Suffix')"
63,"('않', 'PX')","('되', 'XSV')","('해결', 'NNG')","('은', 'Josa')"
64,"('아', 'EC')","('지', 'ECD')","('되', 'XSV')","('논의', 'Noun')"
65,"('문제', 'NC')","('않', 'VXV')","('지', 'EC')","('할', 'Verb')"
66,"('가', 'JC')","('고', 'ECE')","('않', 'VX')","('때', 'Noun')"
67,"('해결', 'NC')","('오히려', 'MAG')","('고', 'EC')","('어땠어', 'Adjective')"
68,"('되', 'XS')","('갈등', 'NNG')","('오히려', 'MAJ')","('?', 'Punctuation')"
69,"('지', 'EC')","('이', 'JKS')","('갈등', 'NNG')","('\n', 'Foreign')"
70,"('않', 'PX')","('고조', 'NNG')","('이', 'JKS')",-
71,"('고', 'EC')","('되', 'XSV')","('고조', 'NNG')",-
72,"('오히려', 'MA')","('는', 'ETD')","('되', 'XSV')",-
73,"('가', 'PX')","('것', 'NNB')","('는', 'ETM')",-
74,"('ㄹ', 'ET')","('을', 'JKO')","('걸', 'VV')",-
75,"('등', 'NB')","('느끼', 'VV')","('ㄹ', 'ETM')",-
76,"('이', 'JC')","('었', 'EPT')","('느끼', 'VV')",-
77,"('고조', 'NC')","('거든', 'EFN')","('었', 'EP')",-
78,"('되', 'XS')","('.', 'SF')","('거든', 'EF')",-
79,"('는', 'ET')","('너희', 'NP')","('.', 'SF')",-
80,"('거', 'NB')","('들', 'XSN')","('너희', 'NP')",-
81,"('ㄹ', 'JC')","('은', 'JX')","('들', 'XSN')",-
82,"('느끼', 'PV')","('논의', 'NNG')","('은', 'JX')",-
83,"('었', 'EP')","('하', 'XSV')","('논의', 'NNG')",-
84,"('거든', 'EF')","('ㄹ', 'ETD')","('하', 'XSV')",-
85,"('.', 'SF')","('때', 'NNG')","('ㄹ', 'ETM')",-
86,"('너희들', 'NP')","('어', 'VV')","('때', 'NNG')",-
87,"('은', 'JX')","('어', 'ECS')","('어떻', 'VA')",-
88,"('논의', 'NC')","('때', 'VV')","('었', 'EP')",-
89,"('하', 'XS')","('었', 'EPT')","('어', 'EF')",-
90,"('ㄹ', 'ET')","('어', 'EFN')","('?', 'SF')",-
91,"('때', 'NC')","('?', 'SF')",-,-
92,"('어떻', 'PA')",-,-,-
93,"('었', 'EP')",-,-,-
94,"('어', 'EF')",-,-,-
95,"('?', 'SF')",-,-,-
0,"('그', 'MM')","('그', 'MDT')","('그', 'MM')","('그', 'Noun')"
1,"('글', 'NC')","('글', 'NNG')","('글', 'NNG')","('글', 'Noun')"
2,"('을', 'JC')","('을', 'JKO')","('을', 'JKO')","('을', 'Josa')"
3,"('읽', 'PV')","('읽', 'VV')","('읽', 'VV')","('읽으며', 'Verb')"
4,"('으며', 'EC')","('으며', 'ECE')","('으며', 'EC')","('내', 'Noun')"
5,"('내', 'PV')","('내', 'NNG')","('내', 'NP')","('태도', 'Noun')"
6,"('어', 'EC')","('태도', 'NNG')","('태도', 'NNG')","('를', 'Josa')"
7,"('태도', 'NC')","('를', 'JKO')","('를', 'JKO')","('되돌아봤어', 'Verb')"
8,"('를', 'JC')","('되돌아보', 'VV')","('되돌', 'VV')","('.', 'Punctuation')"
9,"('되돌', 'PV')","('았', 'EPT')","('아', 'EC')","('내', 'Noun')"
10,"('아', 'EC')","('어', 'EFN')","('보', 'VX')","('가', 'Josa')"
11,"('보', 'PX')","('.', 'SF')","('았', 'EP')","('너무', 'Adverb')"
12,"('아', 'EP')","('내', 'NP')","('어', 'EF')","('일방', 'Noun')"
13,"('아', 'EF')","('가', 'JKS')","('.', 'SF')","('적', 'Suffix')"
14,"('.', 'SF')","('너무', 'MAG')","('내', 'NP')","('으로', 'Josa')"
15,"('나', 'NP')","('일방적', 'NNG')","('가', 'JKS')","('내', 'Noun')"
16,"('가', 'JC')","('으로', 'JKM')","('너무', 'MAG')","('생각', 'Noun')"
17,"('너무', 'MA')","('내', 'NP')","('일방', 'NNG')","('만', 'Josa')"
18,"('일방적', 'NC')","('생각', 'NNG')","('적', 'XSN')","('내', 'Noun')"
19,"('으로', 'JC')","('만', 'JX')","('으로', 'JKB')","('세웠던', 'Verb')"
20,"('내', 'PV')","('내세우', 'VV')","('내', 'NP')","('것', 'Noun')"
21,"('어', 'EC')","('었', 'EPT')","('생각', 'NNG')","('같아', 'Adjective')"
22,"('생각', 'NC')","('더', 'EPT')","('만', 'JX')","('.', 'Punctuation')"
23,"('만', 'JX')","('ㄴ', 'ETD')","('내세우', 'VV')","('다', 'Adverb')"
24,"('내세우', 'PV')","('것', 'NNB')","('었', 'EP')","('목적', 'Noun')"
